"resp_nr","voted","fair_election","correct_election","secure_election","econ_own","econ_accountab"
792,"did vote",1,1,1,2,4
793,"did vote",3,1,1,2,4
794,"did vote",1,1,1,2,4
795,"did vote",1,1,1,2,5
797,"did vote",1,1,1,1,5
799,"did vote",4,2,2,3,1
800,"did vote",2,1,1,2,3
801,"did vote",1,1,1,5,5
802,"did vote",2,2,1,3,2
803,"did vote",2,1,1,2,5
804,"did vote",1,1,1,1,3
805,"did vote",1,1,2,2,3
806,"did vote",1,1,1,3,2
807,"did vote",1,1,1,2,NA
808,"did vote",2,1,2,2,4
809,"did vote",1,1,1,2,5
811,"did vote",1,1,1,2,5
812,"did vote",1,1,1,1,5
813,"did vote",3,4,5,2,2
814,"did vote",1,1,1,3,5
815,"did vote",1,2,1,4,5
816,"did vote",2,3,2,1,5
817,"did vote",1,1,1,2,5
818,"did vote",1,1,1,2,4
819,"did not vote",5,1,4,4,3
820,"did vote",4,3,3,5,1
822,"did vote",2,1,1,3,5
823,"did vote",5,NA,2,2,2
824,"did vote",1,2,1,2,5
825,"did vote",2,3,1,2,1
826,"did vote",2,2,1,2,2
827,"did vote",4,1,1,4,2
828,"did vote",1,1,2,2,1
829,"did vote",2,1,1,4,2
830,"did vote",1,2,1,1,5
832,"did vote",2,1,1,1,5
833,"did vote",3,2,2,2,3
834,"did not vote",3,3,2,2,3
835,"did vote",2,1,1,1,5
836,"did vote",3,3,3,3,2
837,"did vote",3,5,5,2,4
838,"did vote",1,2,2,1,3
839,"did vote",1,1,1,1,3
840,"did vote",2,2,2,2,4
841,"did vote",2,2,3,3,3
842,"did vote",1,1,1,2,5
843,"did vote",1,3,2,3,1
845,"did vote",1,1,1,2,1
847,"did vote",4,1,1,4,2
848,"did vote",2,1,1,2,4
849,"did vote",2,2,2,1,2
850,"did vote",1,1,1,2,5
851,"did vote",1,1,1,2,3
853,"did vote",1,1,1,2,3
854,"did vote",4,1,1,1,4
855,"did vote",1,1,1,2,3
856,"did vote",1,2,2,1,2
857,"did vote",NA,NA,NA,3,2
858,"did vote",2,1,1,2,2
859,"did vote",4,1,1,2,4
862,"did vote",1,1,1,4,2
864,"did vote",3,2,3,3,2
865,"did vote",2,2,2,2,5
866,"did vote",1,1,2,2,2
867,"did vote",2,1,NA,2,5
868,"did vote",2,2,3,2,3
869,"did vote",2,3,3,3,3
870,"did vote",1,1,1,1,4
871,"did vote",1,3,2,2,5
872,"did vote",1,2,1,2,4
873,"did vote",2,1,1,1,5
874,"did vote",1,1,1,1,2
875,"did vote",3,5,5,2,3
876,"did vote",2,2,3,3,1
877,"did vote",1,1,1,3,4
878,"did not vote",5,NA,NA,4,1
879,"did vote",1,2,1,2,2
880,"did vote",1,1,3,3,2
881,NA,1,2,2,3,NA
882,"did vote",3,2,1,4,5
883,"did vote",1,3,2,2,4
884,"did vote",1,1,1,2,5
885,"did vote",2,2,2,2,5
886,"did vote",4,1,4,2,4
887,"did vote",1,1,1,2,3
888,"did vote",2,1,1,2,5
889,"did vote",1,1,1,2,3
890,"did vote",1,1,1,2,2
891,"did vote",1,1,1,1,5
892,"did vote",2,2,2,3,4
895,"did vote",2,1,1,1,5
896,"did vote",3,1,1,2,2
898,"did vote",1,1,1,2,3
899,"did vote",1,2,1,2,5
900,"did vote",2,2,1,3,2
901,"did vote",1,1,1,2,NA
902,"did vote",2,2,3,2,5
903,"did vote",2,1,2,2,3
904,"did vote",1,1,1,2,2
905,NA,1,2,3,3,2
906,"did vote",1,1,1,2,4
907,"did vote",1,1,1,2,2
908,"did vote",1,1,1,2,5
910,"did vote",1,5,5,2,2
911,"did vote",1,1,2,2,4
912,"did vote",4,3,2,3,5
913,"did vote",2,1,1,2,5
914,"did vote",4,1,1,2,5
915,"did not vote",4,4,2,2,3
916,"did vote",1,1,2,2,3
917,"did vote",3,1,1,2,2
918,"did vote",2,2,1,1,4
919,"did vote",3,1,1,1,3
920,"did vote",2,2,2,3,2
921,"did vote",1,1,1,2,4
922,"did vote",1,1,3,2,3
923,"did vote",1,1,1,1,4
924,"did vote",2,2,1,3,3
925,"did vote",3,2,2,3,2
926,"did vote",3,2,2,3,1
927,"did vote",1,1,1,2,3
928,NA,1,2,3,3,2
929,"did not vote",2,2,1,2,5
930,"did vote",2,1,4,1,4
931,"did vote",3,2,3,3,1
932,"did vote",2,1,1,2,3
933,"did vote",1,1,1,1,3
935,"did vote",2,2,2,5,1
936,"did vote",1,2,2,3,3
938,"did vote",1,1,1,3,1
939,"did vote",2,2,2,3,2
940,"did vote",1,1,1,3,1
941,"did vote",2,3,1,2,3
943,"did vote",1,1,1,4,5
944,"did vote",4,3,2,2,5
945,"did vote",2,1,1,3,2
946,"did vote",4,4,3,2,5
947,"did vote",1,1,1,2,4
948,"did vote",2,1,1,2,3
949,"did vote",2,2,1,3,2
950,"did vote",1,2,2,2,4
951,"did vote",4,1,1,1,4
952,"did vote",1,1,1,2,2
953,"did vote",4,4,3,2,5
954,"did vote",2,1,2,1,5
956,"did vote",1,1,1,2,4
957,"did vote",2,1,1,1,2
959,"did vote",2,2,2,3,2
960,"did vote",5,2,1,4,4
961,"did vote",1,1,1,3,2
962,"did vote",1,1,1,4,3
963,NA,1,1,2,2,4
964,"did vote",1,2,2,2,2
965,"did vote",1,1,1,3,3
967,"did vote",4,2,2,2,5
968,"did vote",3,2,2,1,5
969,"did vote",3,2,3,4,2
970,"did vote",1,1,1,2,2
971,"did vote",1,1,1,3,3
972,"did vote",3,2,1,2,4
973,"did vote",3,1,1,1,4
974,"did vote",4,3,3,2,4
975,"did vote",3,3,2,2,3
976,"did vote",1,1,1,2,3
978,"did vote",1,1,1,2,5
979,"did vote",1,1,1,2,2
980,"did vote",2,1,1,2,4
981,"did vote",1,1,1,2,3
982,"did vote",1,2,1,2,2
983,NA,3,2,2,3,5
984,"did vote",3,3,2,2,2
985,"did vote",1,1,2,1,2
986,"did vote",1,1,2,3,3
987,"did vote",1,1,1,3,3
989,"did vote",4,1,2,4,5
990,"did vote",4,1,1,3,1
991,"did vote",1,1,1,3,3
992,"did vote",1,1,1,1,2
993,"did vote",1,1,2,2,2
995,"did vote",1,2,1,2,5
996,"did vote",2,1,1,2,3
998,"did vote",1,1,1,2,3
999,"did vote",1,1,1,1,2
1000,"did vote",2,1,1,3,2
1001,"did vote",3,1,1,1,1
1002,NA,2,3,1,3,2
1003,"did vote",4,2,2,2,5
1006,"did vote",1,1,1,2,4
1007,"did vote",1,1,1,1,4
1008,"did vote",3,2,1,2,5
1009,"did vote",2,1,1,2,3
1010,"did vote",4,3,4,3,3
1011,"did vote",2,1,1,2,3
1013,"did vote",2,2,2,3,3
1014,"did vote",2,1,1,4,4
1015,"did vote",3,2,1,3,4
1016,"did vote",2,1,1,3,3
1017,"did vote",2,1,1,1,5
1018,"did vote",3,2,1,2,2
1019,"did vote",1,1,1,2,3
1020,"did vote",2,2,2,2,5
1021,"did vote",2,1,1,5,2
1023,"did vote",3,2,1,3,NA
1024,"did vote",2,1,1,3,2
1025,"did vote",4,1,1,2,4
1026,"did vote",4,2,5,3,2
1027,"did vote",3,2,2,2,4
1028,"did vote",2,2,2,3,3
1029,"did vote",1,1,1,2,2
1030,"did vote",1,3,1,3,4
1032,"did vote",1,1,3,2,2
1033,"did vote",1,1,1,2,3
1034,"did vote",2,2,2,2,5
1035,"did vote",1,1,1,3,3
1036,"did vote",2,1,1,2,4
1037,"did vote",1,1,1,2,4
1038,"did vote",1,1,4,2,5
1040,"did not vote",NA,NA,NA,3,NA
1042,NA,3,2,1,1,5
1043,"did vote",5,3,3,2,4
1044,"did vote",1,1,1,3,1
1045,"did vote",3,3,3,3,3
1047,"did vote",2,1,2,4,3
1049,"did vote",4,1,2,5,4
1050,"did vote",1,2,2,3,3
1051,"did vote",2,2,1,1,3
1052,"did vote",4,2,3,3,1
1053,"did vote",5,3,2,2,NA
1054,"did vote",1,1,2,2,3
1055,"did vote",2,2,2,2,4
1056,"did vote",2,1,1,2,4
1057,"did vote",1,1,1,3,2
1058,"did vote",1,4,1,1,2
1059,"did vote",1,1,1,2,5
1061,"did vote",2,2,2,2,3
1062,"did vote",1,3,2,2,5
1064,"did vote",1,1,1,2,5
1065,"did vote",2,1,1,2,2
1066,"did vote",1,1,1,2,3
1067,"did vote",2,2,4,2,4
1068,"did vote",2,2,1,2,4
1069,"did not vote",3,4,5,2,2
1070,"did vote",2,2,2,2,5
1071,"did vote",4,2,2,2,4
1073,"did vote",1,1,1,3,2
1074,"did vote",3,4,2,3,2
1075,"did vote",2,2,1,3,2
1076,"did vote",3,2,1,4,1
1077,"did vote",1,1,1,1,2
1078,"did vote",1,2,1,2,5
1079,"did vote",1,1,1,2,4
1080,"did vote",1,1,1,2,3
1081,"did vote",4,2,3,2,3
1082,"did vote",3,2,1,3,2
1083,"did vote",4,2,3,2,2
1084,"did vote",5,2,2,3,3
1085,"did vote",1,1,1,2,2
1086,"did vote",2,2,2,2,3
1087,"did vote",1,1,1,2,3
1090,"did vote",2,1,1,2,3
1091,"did vote",2,2,1,1,5
1092,"did vote",2,1,1,1,5
1093,"did vote",1,1,1,2,2
1094,"did vote",1,1,1,2,5
1095,"did vote",2,1,1,1,5
1096,"did vote",1,2,2,3,4
1097,"did vote",1,1,1,2,3
1098,"did vote",1,1,1,1,5
1100,"did vote",2,2,3,3,4
1101,"did vote",1,1,1,1,3
1102,"did vote",1,1,1,4,2
1103,"did vote",1,1,1,2,2
1104,"did vote",1,1,1,2,2
1105,"did vote",2,2,3,2,4
1107,"did vote",4,1,1,3,3
1108,"did not vote",1,1,1,2,3
1109,"did vote",1,1,1,2,3
1110,"did vote",2,2,1,3,2
1111,"did vote",2,3,3,2,4
1112,"did vote",5,1,1,3,5
1113,"did vote",2,1,1,2,5
1114,"did vote",5,1,1,3,5
1116,"did vote",1,1,1,1,5
1117,"did vote",2,4,1,2,3
1118,"did vote",4,2,NA,3,NA
1119,"did vote",1,1,1,3,2
1120,"did vote",1,1,1,3,3
1122,"did vote",1,1,1,2,2
1123,"did vote",4,3,1,3,3
1124,"did vote",1,1,1,2,3
1125,"did vote",2,2,2,3,2
1126,"did vote",1,1,1,2,2
1127,"did vote",2,1,1,2,5
1128,"did vote",2,2,2,3,2
1129,"did vote",3,1,4,2,2
1130,"did vote",1,1,1,2,2
1131,"did vote",5,3,1,2,2
1132,"did vote",1,1,2,1,2
1133,"did vote",4,1,1,3,3
1134,"did vote",2,1,1,3,3
1136,"did vote",4,1,1,2,5
1137,"did vote",1,1,1,1,NA
1138,"did not vote",3,3,3,4,4
1139,"did not vote",3,3,4,3,2
1140,"did vote",4,3,3,2,3
1141,"did vote",3,2,1,3,5
1143,"did vote",1,2,1,2,3
1144,"did vote",3,3,1,1,5
1145,"did vote",2,2,1,2,2
1146,"did vote",4,3,1,4,2
1147,"did vote",1,1,1,2,3
1148,"did vote",3,1,2,3,3
1149,"did vote",3,2,2,3,3
1150,NA,1,1,1,1,3
1151,NA,2,1,2,3,2
1155,"did vote",2,1,5,3,5
1159,"did vote",1,1,1,1,3
1161,"did vote",2,2,2,3,3
1162,"did vote",1,1,3,2,3
1163,"did vote",1,1,1,2,1
1164,"did vote",2,2,2,3,5
1165,"did vote",2,2,2,4,1
1166,"did vote",1,1,1,3,3
1167,"did vote",1,1,3,4,1
1168,"did vote",1,1,1,2,2
1169,"did vote",1,1,2,2,3
1170,"did vote",3,1,3,2,3
1171,"did vote",4,2,4,3,2
1172,"did vote",3,1,1,4,5
1173,"did vote",2,1,1,3,2
1174,"did vote",1,1,1,2,3
1175,"did vote",2,2,2,3,5
1176,NA,4,2,1,3,5
1177,"did vote",3,2,1,3,5
1179,"did vote",1,1,2,1,3
1181,"did vote",3,1,1,2,3
1182,"did vote",2,1,1,3,2
1183,"did vote",3,1,1,2,3
1184,"did vote",2,2,4,2,4
1186,"did not vote",1,1,1,2,2
1187,"did vote",2,2,1,1,3
1188,"did vote",2,1,1,3,4
1189,"did vote",1,1,1,2,4
1190,"did vote",2,1,1,2,3
1191,"did vote",3,3,3,2,2
1192,"did vote",1,1,1,2,4
1193,"did not vote",2,2,2,3,3
1194,"did vote",1,1,1,3,3
1195,"did vote",2,1,2,2,3
1196,"did vote",3,1,2,2,3
1197,"did vote",2,1,1,2,3
1198,"did vote",3,3,3,2,3
1199,"did vote",1,1,3,2,2
1200,"did vote",3,4,4,3,1
1202,"did vote",1,1,1,3,2
1203,"did vote",2,1,1,2,3
1204,"did vote",1,1,1,2,5
1205,"did vote",1,1,1,1,4
1206,"did vote",1,1,1,2,3
1207,"did vote",NA,3,2,4,4
1208,"did vote",NA,NA,NA,4,2
1209,"did vote",1,2,5,3,1
1210,"did vote",3,2,1,2,3
1211,"did vote",2,1,1,2,2
1212,"did not vote",2,1,2,3,3
1214,"did vote",2,2,1,3,3
1215,"did vote",1,3,1,2,3
1216,"did vote",1,1,2,2,3
1217,"did vote",1,1,1,2,5
1219,"did vote",2,2,1,1,4
1220,"did vote",2,1,2,3,2
1221,"did vote",1,3,2,2,4
1222,"did vote",3,2,2,3,5
1223,"did vote",1,1,1,2,5
1224,"did vote",2,1,1,2,5
1225,"did vote",3,2,2,3,4
1226,"did vote",1,1,3,1,4
1227,"did vote",2,1,1,1,3
1229,"did vote",1,1,1,2,4
1230,"did vote",4,2,1,2,5
1233,"did vote",2,2,2,2,5
1234,"did vote",2,1,1,4,2
1235,"did vote",2,3,1,1,2
1236,"did vote",3,4,4,2,1
1237,"did vote",2,1,2,2,1
1238,"did vote",2,4,2,2,NA
1239,"did vote",NA,NA,1,3,3
1240,"did vote",4,1,1,3,4
1242,"did vote",1,3,1,2,5
1244,"did vote",3,1,1,1,5
1245,"did vote",2,2,1,2,3
1246,"did vote",1,1,1,2,3
1247,"did vote",2,2,2,5,2
1248,"did vote",1,1,1,1,3
1249,"did vote",1,1,1,2,5
1251,"did vote",2,1,1,3,4
1252,"did vote",1,1,1,1,3
1253,"did not vote",3,3,4,3,2
1254,"did vote",1,NA,1,3,2
1255,"did vote",3,2,2,3,1
1257,"did vote",2,2,1,2,4
1258,"did vote",NA,1,2,2,3
1259,"did vote",2,1,1,1,5
1260,"did vote",1,1,1,3,1
1262,"did vote",1,1,1,3,4
1263,"did vote",2,2,1,2,3
1264,"did vote",2,1,1,2,2
1265,"did vote",2,2,2,2,2
1266,"did vote",2,2,1,2,2
1267,"did vote",1,2,2,2,2
1268,"did vote",4,2,3,2,3
1269,"did vote",2,1,1,2,5
1270,"did vote",3,3,3,3,3
1271,"did vote",1,1,2,2,4
1272,"did vote",5,3,5,2,5
1273,"did vote",5,1,2,2,3
1274,"did vote",1,1,1,2,5
1275,"did vote",2,1,1,1,3
1276,"did vote",2,1,1,1,4
1277,"did vote",3,1,1,2,5
1278,"did vote",1,2,1,3,5
1279,"did vote",1,1,1,2,2
1280,"did vote",1,1,1,1,4
1281,"did vote",1,1,1,3,3
1283,"did vote",1,1,2,2,3
1284,"did vote",1,1,1,2,3
1285,"did vote",1,1,1,1,4
1286,"did vote",4,1,1,4,1
1287,"did vote",1,1,1,2,5
1288,"did vote",1,1,1,2,1
1289,"did vote",1,1,1,2,2
1290,"did vote",3,2,2,2,2
1291,"did vote",3,1,1,3,3
1292,"did vote",1,3,3,2,3
1293,"did vote",3,3,3,3,2
1294,"did vote",2,1,1,3,3
1295,"did vote",2,1,3,2,2
1296,NA,1,1,1,3,5
1298,NA,NA,NA,NA,1,5
1299,"did vote",4,1,1,3,4
1300,"did not vote",4,4,5,4,2
1301,"did vote",1,1,1,1,4
1302,"did vote",2,3,2,2,5
1304,"did vote",4,2,2,1,5
1306,"did vote",4,1,1,1,2
1307,"did vote",3,1,2,2,2
1308,"did vote",1,1,1,1,5
1309,"did vote",1,1,2,1,5
1310,"did vote",4,2,1,2,5
1311,"did vote",2,1,1,2,4
1312,"did vote",1,1,1,1,2
1314,"did vote",2,2,2,3,2
1315,"did vote",1,2,1,2,3
1316,"did vote",2,2,2,1,2
1317,"did vote",2,1,1,2,2
1318,"did not vote",2,2,2,1,3
1321,"did vote",2,2,2,2,3
1322,"did vote",2,1,1,2,5
1323,"did vote",2,1,1,3,2
1324,"did not vote",4,4,4,3,5
1325,"did vote",2,1,4,1,5
1326,"did vote",1,1,1,3,4
1327,"did vote",1,1,1,2,5
1328,"did vote",3,1,2,2,5
1329,"did not vote",3,2,2,2,2
1330,"did vote",1,3,1,2,5
1331,"did vote",1,1,1,3,3
1332,"did vote",2,3,2,2,3
1333,"did vote",3,2,4,4,2
1334,"did vote",1,1,1,1,5
1335,"did vote",2,1,1,2,5
1336,"did vote",1,1,1,2,2
1337,"did vote",1,1,1,3,5
1338,"did vote",3,1,1,2,4
1339,"did vote",1,1,2,1,5
1340,"did vote",5,1,1,2,3
1341,"did vote",4,1,1,2,2
1342,"did vote",2,3,3,4,3
1343,"did vote",1,1,1,4,2
1344,"did vote",3,2,1,2,2
1345,"did vote",1,1,1,1,5
1346,"did vote",3,1,1,2,2
1347,"did vote",1,1,1,2,4
1350,"did vote",1,1,1,2,2
1351,"did vote",2,2,1,2,3
1352,"did vote",2,3,2,3,2
1353,"did vote",2,2,1,2,2
1354,"did vote",1,1,1,1,2
1355,NA,1,1,1,1,5
1356,"did vote",4,4,5,1,5
1357,"did vote",1,2,1,2,5
1358,"did vote",5,1,1,1,5
1359,"did vote",1,1,1,1,4
1360,"did vote",1,3,1,2,5
1361,"did vote",1,1,1,1,5
1362,"did vote",4,1,1,2,3
1363,"did vote",1,1,2,2,4
1364,"did vote",1,1,1,2,3
1365,"did vote",2,2,2,3,2
1366,"did vote",1,1,1,2,2
1367,"did vote",1,1,1,2,3
1368,"did vote",2,3,1,2,3
1369,"did vote",2,2,2,4,2
1370,"did vote",1,1,2,2,3
1371,"did vote",3,2,2,2,3
1372,"did vote",4,2,2,2,2
1373,"did vote",2,1,1,1,3
1374,"did vote",4,4,1,4,1
1375,"did vote",2,1,2,2,4
1376,"did vote",2,1,1,1,5
1377,"did not vote",2,2,2,4,2
1378,"did vote",2,1,1,2,3
1379,"did vote",5,4,4,3,2
1380,"did vote",2,2,3,2,3
1381,"did vote",2,3,1,2,4
1383,"did vote",1,1,1,2,3
1384,"did vote",2,2,2,1,5
1385,"did vote",2,2,2,3,3
1386,"did vote",2,1,1,2,5
1387,"did vote",1,1,1,3,5
1388,"did vote",2,1,1,2,5
1389,"did vote",3,1,2,2,5
1390,"did vote",2,2,3,2,5
1391,"did vote",2,2,2,2,2
1393,"did vote",3,3,3,2,1
1394,"did vote",1,1,1,2,3
1395,"did vote",2,4,4,3,NA
1396,"did not vote",3,4,3,3,1
1397,NA,2,3,5,2,NA
1398,NA,3,2,3,2,3
1400,"did vote",1,1,1,1,4
1401,"did vote",1,1,1,1,2
1402,"did not vote",2,2,3,5,5
1403,"did vote",1,1,1,2,2
1404,"did vote",3,2,2,2,3
1405,"did vote",2,2,2,2,3
1406,"did vote",2,1,1,2,2
1407,"did vote",2,1,1,2,4
1408,"did vote",4,2,2,2,5
1409,"did vote",1,1,1,2,2
1410,"did vote",2,3,1,2,3
1412,"did vote",2,1,1,2,2
1413,"did vote",2,1,1,2,NA
1414,"did vote",2,2,2,3,3
1417,"did vote",3,3,3,3,2
1418,"did vote",1,1,1,2,3
1419,"did vote",4,3,2,2,5
1420,"did vote",2,1,1,3,3
1422,"did vote",4,3,3,3,2
1424,"did not vote",4,2,3,4,1
1425,"did vote",1,1,1,2,3
1426,"did vote",1,1,2,1,3
1427,"did vote",5,5,5,1,5
1428,"did vote",2,1,1,3,3
1429,"did vote",2,1,1,2,3
1430,"did vote",1,1,1,3,2
1433,"did vote",1,1,1,2,4
1435,"did vote",4,1,1,2,5
1436,"did vote",2,1,1,3,3
1437,"did vote",2,2,1,1,5
1438,"did vote",4,1,1,1,5
1440,"did vote",3,1,1,1,3
1441,"did vote",3,1,1,2,4
1442,"did vote",1,1,1,2,3
1443,"did vote",2,3,1,2,2
1444,"did vote",1,1,1,4,1
1445,"did vote",2,1,2,2,3
1446,"did vote",1,1,1,3,3
1449,"did vote",1,1,1,1,2
1450,"did vote",1,1,5,4,3
1451,"did vote",1,2,1,2,4
1453,"did vote",1,1,1,2,2
1454,"did vote",3,1,1,3,2
1455,"did vote",2,2,1,3,2
1456,"did vote",3,3,1,2,2
1457,NA,1,1,3,2,4
1459,"did vote",2,1,1,2,2
1460,"did vote",4,3,5,4,2
1461,"did vote",1,1,1,1,3
1462,"did vote",1,1,1,2,5
1463,"did vote",2,2,2,5,2
1464,"did vote",2,3,2,2,5
1465,"did vote",1,1,3,4,2
1466,"did vote",2,1,1,1,3
1467,"did vote",2,1,1,2,3
1468,"did vote",2,2,1,1,4
1470,"did vote",1,1,1,4,5
1471,"did vote",1,1,1,2,3
1472,"did vote",1,2,2,3,2
1473,"did vote",4,2,3,2,1
1474,"did vote",1,1,1,2,3
1475,"did vote",1,1,2,1,5
1476,"did vote",1,1,1,2,1
1477,"did vote",1,2,4,3,3
1478,"did vote",2,1,1,2,4
1479,"did vote",2,2,1,2,2
1480,"did vote",2,1,1,1,3
1481,"did vote",3,2,1,2,4
1482,"did vote",3,1,2,4,5
1483,"did vote",3,1,1,2,5
1484,"did vote",4,3,1,2,4
1485,"did vote",2,1,1,3,3
1486,"did vote",3,3,2,2,3
1487,"did vote",2,2,1,2,3
1488,"did vote",2,1,2,2,5
1489,"did vote",3,2,2,3,2
1490,"did vote",1,1,1,3,5
1491,"did vote",2,1,1,2,3
1494,"did vote",2,1,2,2,2
1495,"did vote",1,1,1,3,3
1496,"did vote",1,1,1,1,2
1497,"did vote",2,1,1,2,2
1498,"did vote",1,1,1,2,4
1499,"did vote",3,2,3,2,3
1500,"did vote",1,1,1,2,2
1501,"did vote",1,3,2,3,2
1502,"did vote",3,2,2,3,3
1504,"did vote",3,1,1,2,3
1505,"did vote",2,2,2,3,3
1506,NA,3,1,1,3,2
1507,"did vote",4,3,4,2,5
1508,"did vote",3,2,2,3,5
1509,"did vote",1,1,1,3,4
1510,"did vote",3,3,2,2,5
1511,"did vote",2,2,2,4,2
1512,"did vote",4,2,1,3,5
1513,"did vote",1,1,1,2,NA
1515,"did vote",2,3,1,2,5
1516,"did vote",1,1,1,2,3
1517,"did vote",2,2,1,2,2
1518,"did vote",4,2,3,3,2
1519,"did vote",1,2,2,3,1
1520,"did vote",2,2,1,2,2
1521,"did vote",2,2,2,2,3
1522,"did vote",2,1,1,3,4
1524,"did vote",1,1,1,2,3
1525,"did vote",4,2,2,3,3
1526,"did vote",3,3,3,3,3
1527,"did vote",2,1,1,3,2
1528,"did vote",1,1,1,3,2
1529,"did vote",2,2,2,2,3
1530,"did vote",2,1,1,2,2
1531,"did vote",3,3,4,4,3
1532,"did vote",1,1,1,3,2
1533,NA,1,1,1,3,2
1534,NA,2,1,1,3,4
1535,"did vote",3,3,2,2,2
1536,"did vote",1,1,1,3,5
1537,"did vote",3,2,3,1,5
1538,"did vote",2,1,2,2,4
1540,"did vote",2,2,4,2,2
1541,"did vote",1,3,1,2,5
1542,"did vote",1,1,1,1,3
1543,"did vote",2,2,1,1,3
1544,"did vote",1,1,1,2,3
1545,"did vote",3,1,1,3,3
1546,"did vote",1,1,1,3,2
1547,"did vote",2,1,1,3,5
1548,"did vote",2,1,1,3,2
1549,"did vote",2,1,1,1,3
1550,"did vote",3,1,NA,3,3
1551,"did vote",1,3,2,2,3
1552,"did vote",2,1,1,2,2
1553,NA,1,1,2,4,3
1554,"did vote",2,3,1,3,2
1555,"did vote",2,1,1,2,4
1556,"did vote",5,5,3,2,4
1557,"did vote",1,1,1,2,3
1558,"did vote",3,2,1,2,2
1559,"did vote",1,1,1,2,3
1560,"did vote",3,3,2,3,3
1561,"did vote",2,2,3,2,2
1562,"did vote",2,3,2,2,2
1563,"did vote",3,2,2,4,2
1564,"did vote",1,1,1,2,1
1565,"did vote",1,3,1,1,5
1566,"did not vote",1,1,1,3,1
1568,"did vote",2,2,2,2,4
1569,"did vote",1,1,1,2,3
1570,"did vote",2,2,2,2,3
1571,"did vote",2,NA,NA,2,4
1572,"did vote",4,2,1,3,2
1573,"did vote",NA,4,5,2,1
1574,"did vote",2,1,1,2,5
1575,NA,2,2,2,4,1
1577,"did vote",4,2,2,1,4
1578,"did vote",1,1,1,2,1
